Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771564673561,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,4.34782600402832,4.1666669845581055,0,0,4.34782600402832,0,4.1666669845581055,8.333333969116211,4.34782600402832,4.34782600402832,0,0,4.34782600402832,0,4.34782600402832,4.1666669845581055,0,0,0,0,0,16376,9349,9074,43,0,111352.18194580078,49965.077392578125,1922.0337524414063,33336795136,0,6529400832,0
200,1771564673561,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,4.34782600402832,4.1666669845581055,0,0,4.34782600402832,0,4.1666669845581055,8.333333969116211,4.34782600402832,4.34782600402832,0,0,4.34782600402832,0,4.34782600402832,4.1666669845581055,0,0,0,0,0,16376,9349,9074,43,0,111352.39526367188,49965.120056152344,1922.0337524414063,33336795136,0,6555865088,0
200,1771564673761,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,0,0,46.153846740722656,0,4,7.142857551574707,4,7.407407283782959,7.407407283782959,3.846153974533081,0,7.692307949066162,25.925926208496094,0,4,0,18.518518447875977,57.69230651855469,10.714285850524902,0,0,16376,9349,9072,43,0,111355.24127197266,49966.41662597656,1922.0337524414063,33336795136,0,6695153664,0
199,1771564673961,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,4.761904716491699,0,14.285715103149414,0,4.761904716491699,5,0,0,0,0,0,0,80,0,14.285715103149414,0,68.42105102539063,30.000001907348633,5,0,0,16376,9349,9055,43,0,111358.33532714844,49967.990966796875,1922.0337524414063,33336795136,0,6600474624,0
199,1771564674161,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,5.263157844543457,0,0,0,0,0,4.761904716491699,0,5,0,5,0,40,0,50,0,65,38.095237731933594,0,0,0,16376,9349,9044,43,0,111361.31506347656,49969.44207763672,1922.0337524414063,33336795136,0,6737309696,0
200,1771564674361,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,5.263157844543457,0,0,0,0,0,4.761904716491699,0,5,0,5,0,40,0,50,0,65,38.095237731933594,0,0,0,16376,9349,9037,43,0,111364.5650024414,49971.117919921875,1922.0337524414063,33336795136,0,6771761152,0
200,1771564674561,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,2.5,0,10,0,7.692307949066162,0,0,4.878048419952393,5,6.976744651794434,2.5,0,0,4.878048419952393,67.5,0,5,32.5,7.500000476837158,0,0,16376,9349,9034,43,0,111366.61431884766,49971.57049560547,1922.0337524414063,33336795136,0,6765072384,0
199,1771564674762,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,0,0,0,0,10,0,0,0,0,0,0,0,0,0,57.894737243652344,0,25,0,5,0,0,16376,9349,8996,43,0,111369.05279541016,49972.3671875,1922.0337524414063,33336795136,0,6770081792,0
200,1771564674962,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,10.526315689086914,0,5,0,9.523809432983398,10,5.263157844543457,0,5,0,0,4.761904716491699,0,0,40,0,40,0,5,0,0,16376,9349,8996,43,0,111371.18249511719,49972.88537597656,1922.0337524414063,33336795136,0,6752481280,0
200,1771564675162,400,400,400,400,400,399,2500,2499,2423,2518,2459,2491,1322,400,400,400,821,400,3474,400,9.090909004211426,0,0,0,5.263157844543457,0,4.761904716491699,0,0,0,0,0,19.047618865966797,0,52.6315803527832,0,40,0,10,0,0,16376,9349,8996,43,0,111373.53240966797,49973.577392578125,1922.0337524414063,33336795136,0,6626562048,0
