Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771906870209,595,400,400,400,2376,1534,2299,2253,1548,2220,2345,400,931,400,400,591,1124,400,3738,400,4.545454502105713,4.545454502105713,0,4.34782600402832,0,0,0,8.69565200805664,4.545454502105713,13.043478012084961,4.545454502105713,4.34782600402832,8.333333969116211,0,4.34782600402832,0,9.090909004211426,4.34782600402832,4.545454502105713,4.34782600402832,0,16376,14941,5131,42,0,194874.6982421875,14245.58349609375,265.34539794921875,33336799232,0,5752373248,0
200,1771906870209,595,400,400,400,2376,1534,2299,2253,1548,2220,2345,400,931,400,400,591,1124,400,3738,400,4.545454502105713,4.545454502105713,0,4.34782600402832,0,0,0,8.69565200805664,4.545454502105713,13.043478012084961,4.545454502105713,4.34782600402832,8.333333969116211,0,4.34782600402832,0,9.090909004211426,4.34782600402832,4.545454502105713,4.34782600402832,0,16376,14941,5131,42,0,194874.93395996094,14245.631958007813,265.34539794921875,33336799232,0,5754253312,0
200,1771906870409,595,400,400,400,2376,1534,2299,2253,1548,2220,2345,400,931,400,400,591,1124,400,3738,400,3.846153974533081,0,8,0,7.692307949066162,3.7037036418914795,3.846153974533081,0,0,0,3.846153974533081,4,0,0,44,0,42.30769348144531,0,7.692307949066162,0,0,16376,14941,9002,45,95,194877.3856201172,14246.566772460938,265.34539794921875,33336799232,0,5735825408,0
200,1771906870609,595,400,400,400,2376,1534,2299,2253,1548,2220,2345,400,931,400,400,591,1124,400,3738,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,100,0,0,0,0,16376,14941,15924,46,97,194880.03857421875,14247.657958984375,265.34539794921875,33336799232,0,5759565824,0
22,1771906870809,595,400,400,400,2376,1534,2299,2253,1548,2220,2345,400,931,400,400,591,1124,400,3738,400,0,0,4.761904716491699,0,0,0,0,0,9.090909004211426,0,0,0,0,0,15.000000953674316,0,100,0,0,0,0,16376,14941,35697,46,97,194882.6537475586,14248.713928222656,265.34539794921875,33336799232,0,5759565824,0
