Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771904237649,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,11.428571701049805,13.51351261138916,11.111111640930176,5.405405521392822,24.324325561523438,11.111111640930176,11.111111640930176,16.666667938232422,11.428571701049805,8.333333969116211,13.51351261138916,8.108107566833496,5.555555820465088,10.256410598754883,21.62162208557129,5.555555820465088,8.108107566833496,8.333333969116211,8.108107566833496,5.714285850524902,0,16376,14941,5143,42,0,174789.26959228516,12768.044860839844,265.01513671875,33336799232,0,5736538112,0
200,1771904237649,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,11.428571701049805,13.51351261138916,11.111111640930176,5.405405521392822,24.324325561523438,11.111111640930176,11.111111640930176,16.666667938232422,11.428571701049805,8.333333969116211,13.51351261138916,8.108107566833496,5.555555820465088,10.256410598754883,21.62162208557129,5.555555820465088,8.108107566833496,8.333333969116211,8.108107566833496,5.714285850524902,0,16376,14941,5143,42,0,174789.51336669922,12768.102172851563,265.01513671875,33336799232,0,5738512384,0
199,1771904237850,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,7.407407283782959,0,3.846153974533081,0,0,0,3.846153974533081,0,0,0,0,3.846153974533081,4,8,69.23077392578125,0,12,0,7.692307949066162,0,0,16376,14941,5388,42,0,174791.94006347656,12769.019958496094,265.01513671875,33336799232,0,5824540672,0
199,1771904238050,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,0,0,10,0,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,0,5.263157844543457,10,0,80,0,19.047618865966797,0,0,0,0,16376,14941,5422,42,0,174794.64672851563,12770.228881835938,265.01513671875,33336799232,0,5830639616,0
199,1771904238250,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,35,0,23.809524536132813,0,5,0,0,0,4.761904716491699,9.523809432983398,0,0,10,50,75,0,26.3157901763916,10,0,0,0,16376,508,6167,43,12,174797.62634277344,12771.657287597656,265.01568603515625,33336799232,0,5493374976,0
200,1771904238450,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,20,0,0,0,5,0,0,0,5,0,4.761904716491699,0,15.000000953674316,20,61.904762268066406,0,15.789472579956055,0,0,0,0,16376,508,8439,43,100,174799.74951171875,12772.266723632813,265.01568603515625,33336799232,0,5459578880,0
200,1771904238650,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,5.263157844543457,0,10,5,0,5,9.523809432983398,5.263157844543457,4.761904716491699,9.523809432983398,15.789472579956055,0,47.619049072265625,0,21.052631378173828,10,47.619049072265625,0,5,0,0,16376,508,12186,44,100,174802.14764404297,12772.987609863281,265.01568603515625,33336799232,0,5444325376,0
199,1771904238850,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,5,0,0,0,0,0,0,0,0,0,0,0,5.263157844543457,0,85,0,0,0,0,0,0,16376,508,20849,44,10,174805.02966308594,12774.240966796875,265.01568603515625,33336799232,0,5492690944,0
200,1771904239050,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,5,0,90,0,5.263157844543457,0,0,0,0,16376,571,24295,44,0,174807.62493896484,12775.177307128906,265.01568603515625,33336799232,0,5556195328,0
199,1771904239250,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,0,0,0,0,0,9.523809432983398,0,4.761904716491699,0,0,0,0,9.523809432983398,0,100,0,5,0,0,0,0,16376,4921,29215,44,94,174810.69409179688,12776.149475097656,265.01568603515625,33336799232,0,5587345408,0
200,1771904239450,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,5.263157844543457,0,0,0,0,16376,4921,32605,44,95,174813.76403808594,12777.090759277344,265.01568603515625,33336799232,0,5587341312,0
200,1771904239651,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.47618865966797,0,14.285715103149414,0,0,0,0,16376,5605,32768,44,5,174816.61297607422,12778.254760742188,265.01568603515625,33336799232,0,5766057984,0
199,1771904239851,755,400,732,614,700,399,700,700,699,699,699,700,898,900,399,400,665,400,688,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4.761904716491699,0,0,16376,5605,31827,44,0,174818.22888183594,12778.295471191406,265.01568603515625,33336799232,0,5782560768,0
