Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771557116796,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,10.256410598754883,7.894736289978027,7.692307949066162,5.263157844543457,10.256410598754883,5.128205299377441,17.5,10.256410598754883,12.820513725280762,12.195121765136719,8.108107566833496,13.1578950881958,10.256410598754883,7.692307949066162,18.421052932739258,7.894736289978027,10.526315689086914,7.894736289978027,7.894736289978027,13.1578950881958,0,16376,15995,9077,44,0,47867.8564453125,41505.46240234375,1921.1947631835938,33336795136,0,6579175424,0
200,1771557116796,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,10.256410598754883,7.894736289978027,7.692307949066162,5.263157844543457,10.256410598754883,5.128205299377441,17.5,10.256410598754883,12.820513725280762,12.195121765136719,8.108107566833496,13.1578950881958,10.256410598754883,7.692307949066162,18.421052932739258,7.894736289978027,10.526315689086914,7.894736289978027,7.894736289978027,13.1578950881958,0,16376,15995,9086,44,0,47868.10119628906,41505.53723144531,1921.1947631835938,33336795136,0,6585798656,0
199,1771557116996,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,0,0,3.5714287757873535,0,3.7037036418914795,3.5714287757873535,7.407407283782959,0,10,0,7.407407283782959,0,14.285715103149414,0,22.22222328186035,0,28.571430206298828,0,22.22222328186035,0,0,16376,15995,9086,44,0,47870.342041015625,41506.260009765625,1921.1947631835938,33336795136,0,6653337600,0
199,1771557117196,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,5,0,0,0,0,0,0,0,0,0,0,0,5,0,40,70,0,52.38095474243164,20,4.761904716491699,0,16376,15995,9090,44,0,47873.277404785156,41507.669494628906,1921.1947631835938,33336795136,0,6638059520,0
199,1771557117397,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,0,0,4.761904716491699,0,0,0,0,0,0,10,5,0,0,0,0,100,9.523809432983398,42.85714340209961,38.095237731933594,0,0,16376,15995,9079,44,0,47876.17596435547,41509.03009033203,1921.1947631835938,33336795136,0,6753562624,0
200,1771557117597,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,100,100,0,10.526315689086914,0,0,16376,15995,9064,44,0,47879.2705078125,41510.61297607422,1921.1947631835938,33336795136,0,6788792320,0
200,1771557117797,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,0,0,10,0,5,9.523809432983398,10,0,0,0,0,0,0,0,5.263157844543457,61.904762268066406,54.54545593261719,0,26.3157901763916,0,0,16376,15995,9055,44,0,47881.974609375,41511.64025878906,1921.1947631835938,33336795136,0,6736601088,0
199,1771557117997,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,4.761904716491699,0,5,0,10,0,0,0,0,0,0,0,0,0,61.904762268066406,0,31.57894515991211,0,0,0,0,16376,15995,9012,44,0,47884.49548339844,41512.500732421875,1921.1947631835938,33336795136,0,6749417472,0
199,1771557118197,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,90,70,0,10,0,0,16376,15995,9012,44,0,47887.20446777344,41513.59338378906,1921.1947631835938,33336795136,0,6711541760,0
200,1771557118397,400,2564,2034,400,2395,2247,1099,399,400,2287,2474,2479,1945,400,1605,400,3700,400,540,3363,0,0,0,0,9.090909004211426,5,18.18181800842285,5,4.761904716491699,0,5,0,35,0,15.000000953674316,55,65,0,15.000000953674316,0,0,16376,15995,9012,44,0,47889.484802246094,41514.27410888672,1921.1947631835938,33336795136,0,6719959040,0
