Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771556000082,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,4.545454502105713,4.545454502105713,4.34782600402832,0,13.043478012084961,4.545454502105713,16.666667938232422,9.090909004211426,16.666667938232422,0,4.34782600402832,4.34782600402832,4.545454502105713,4.545454502105713,17.39130401611328,0,27.272727966308594,0,8.69565200805664,4.545454502105713,0,16376,9349,9041,42,0,38157.31317138672,40033.93798828125,1921.0726318359375,33336795136,0,6540365824,0
200,1771556000082,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,4.545454502105713,4.545454502105713,4.34782600402832,0,13.043478012084961,4.545454502105713,16.666667938232422,9.090909004211426,16.666667938232422,0,4.34782600402832,4.34782600402832,4.545454502105713,4.545454502105713,17.39130401611328,0,27.272727966308594,0,8.69565200805664,4.545454502105713,0,16376,9349,9041,42,0,38157.52429199219,40033.98132324219,1921.0726318359375,33336795136,0,6556332032,0
199,1771556000282,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,3.5714287757873535,0,3.7037036418914795,0,10.714285850524902,6.896551609039307,10,3.7037036418914795,10.714285850524902,3.5714287757873535,0,0,0,0,11.111111640930176,0,64.28571319580078,0,3.846153974533081,0,0,16376,9349,9041,42,0,38159.893310546875,40034.836364746094,1921.0726318359375,33336795136,0,6631084032,0
200,1771556000482,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,0,0,5.263157844543457,0,0,0,0,5,0,5,0,0,9.523809432983398,0,0,5,75,0,20,0,0,16376,9349,9058,42,0,38162.435791015625,40035.865295410156,1921.0726318359375,33336795136,0,6558281728,0
200,1771556000683,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,30.000001907348633,0,20,0,5,9.523809432983398,0,10,5,10,10,5,0,5,0,0,70,0,10,5,0,16376,9349,9054,42,0,38164.87658691406,40036.74523925781,1921.0726318359375,33336795136,0,6771953664,0
199,1771556000883,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,4.761904716491699,0,5,0,0,0,0,0,0,0,0,0,5,0,5.263157844543457,0,85,0,5.263157844543457,0,0,16376,508,9151,43,43,38167.005859375,40037.35400390625,1921.0726318359375,33336795136,0,6178566144,0
200,1771556001083,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,0,0,5,0,5,0,5,0,9.523809432983398,5,0,0,5.263157844543457,0,65,0,0,0,5,0,0,16376,508,10790,43,100,38169.00378417969,40037.83288574219,1921.0726318359375,33336795136,0,6200033280,0
200,1771556001283,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,0,0,10,0,0,0,0,5,0,0,0,0,5,0,61.904762268066406,0,35,0,0,0,0,16376,508,13325,43,43,38171.48913574219,40038.719177246094,1921.0726318359375,33336795136,0,6227468288,0
200,1771556001483,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,0,0,0,0,5,0,0,0,0,0,0,0,0,0,89.47368621826172,0,9.523809432983398,0,0,0,0,16376,508,17845,44,0,38174.336853027344,40039.934326171875,1921.0726318359375,33336795136,0,6272192512,0
200,1771556001683,791,400,400,400,600,601,599,600,399,599,600,502,553,573,400,400,800,400,1352,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.000003814697266,0,10.526315689086914,0,5,5,0,16376,508,21617,44,0,38176.95489501953,40040.802490234375,1921.0726318359375,33336795136,0,6230306816,0
