Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771553708175,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,7.894736289978027,7.692307949066162,2.702702760696411,5.128205299377441,26.3157901763916,13.1578950881958,15.789472579956055,10,10.256410598754883,5.263157844543457,10,5.263157844543457,10.526315689086914,7.692307949066162,22.5,10,7.692307949066162,2.6315789222717285,5.263157844543457,7.317072868347168,0,16376,15995,9095,43,0,18659.255310058594,37363.32550048828,1920.7967529296875,33336795136,0,6454554624,0
200,1771553708175,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,7.894736289978027,7.692307949066162,2.702702760696411,5.128205299377441,26.3157901763916,13.1578950881958,15.789472579956055,10,10.256410598754883,5.263157844543457,10,5.263157844543457,10.526315689086914,7.692307949066162,22.5,10,7.692307949066162,2.6315789222717285,5.263157844543457,7.317072868347168,0,16376,15995,9095,43,0,18659.461853027344,37363.372314453125,1920.7967529296875,33336795136,0,6469619712,0
199,1771553708375,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,0,3.7037036418914795,8,0,7.692307949066162,0,3.846153974533081,4.1666669845581055,0,10.714285850524902,0,7.407407283782959,0,0,52,0,26.923078536987305,3.846153974533081,0,0,0,16376,15995,9095,43,0,18661.769287109375,37364.160400390625,1920.7967529296875,33336795136,0,6545768448,0
200,1771553708575,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,9.523809432983398,0,4.761904716491699,0,5,5,0,5,9.090909004211426,5,0,5,4.761904716491699,0,20,0,40,52.38095474243164,19.047618865966797,0,0,16376,15995,9129,43,0,18664.3564453125,37365.20379638672,1920.7967529296875,33336795136,0,6494076928,0
200,1771553708775,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,0,0,10,0,0,0,5,0,10.526315689086914,0,9.523809432983398,0,0,0,30.000001907348633,0,20,40,30.000001907348633,0,0,16376,15995,9128,43,0,18666.64874267578,37365.93908691406,1920.7967529296875,33336795136,0,6611128320,0
200,1771553708975,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,0,0,5,4.761904716491699,0,0,0,0,0,0,0,0,0,0,10,0,95,0,0,0,0,16376,15995,9145,43,0,18669.193420410156,37366.87951660156,1920.7967529296875,33336795136,0,6406524928,0
200,1771553709175,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,4.761904716491699,0,0,0,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,42.105262756347656,0,100,0,15.000000953674316,0,0,16376,508,9151,43,6,18671.74072265625,37367.84606933594,1920.7967529296875,33336795136,0,6182326272,0
199,1771553709376,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,5,0,0,0,0,0,5,0,4.761904716491699,0,0,10,0,0,28.571430206298828,0,50,0,5,0,0,16376,508,9694,43,100,18673.81036376953,37368.41467285156,1920.7967529296875,33336795136,0,6231199744,0
199,1771553709576,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,10,4.761904716491699,0,0,5,0,0,0,10,0,0,0,15.000000953674316,0,15.789472579956055,0,54.54545593261719,4.761904716491699,0,0,0,16376,508,13782,44,100,18676.105712890625,37369.070251464844,1920.7967529296875,33336795136,0,6162489344,0
200,1771553709776,400,1602,400,400,1849,2318,1128,1418,986,2018,2093,1891,837,400,1083,400,400,400,683,400,10,4.761904716491699,0,0,5,0,0,0,10,0,0,0,15.000000953674316,0,15.789472579956055,0,54.54545593261719,4.761904716491699,0,0,0,16376,508,18478,44,7,18678.955322265625,37370.316162109375,1920.7967529296875,33336795136,0,6227214336,0
