Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771561364906,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,9.375,6.25,6.45161247253418,6.25,6.25,6.45161247253418,3.3333334922790527,15.625,6.45161247253418,9.090909004211426,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,25,6.25,9.67741870880127,3.22580623626709,6.45161247253418,6.25,0,16376,505,23948,43,0,83600.0258178711,46294.96667480469,1921.6618041992188,33336795136,0,6061248512,0
200,1771561364906,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,9.375,6.25,6.45161247253418,6.25,6.25,6.45161247253418,3.3333334922790527,15.625,6.45161247253418,9.090909004211426,3.22580623626709,3.22580623626709,3.3333334922790527,6.25,25,6.25,9.67741870880127,3.22580623626709,6.45161247253418,6.25,0,16376,505,23948,43,0,83600.2807006836,46295.00036621094,1921.6618041992188,33336795136,0,6051909632,0
200,1771561365106,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,4,0,3.7037036418914795,0,11.538461685180664,3.7037036418914795,3.7037036418914795,0,3.7037036418914795,0,0,0,7.407407283782959,0,15.384615898132324,7.407407283782959,57.69230651855469,3.5714287757873535,3.7037036418914795,0,0,16376,506,23948,43,0,83602.9896850586,46296.085205078125,1921.6618041992188,33336795136,0,6195884032,0
199,1771561365306,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,10,5.263157844543457,0,0,23.809524536132813,0,0,0,0,0,0,4.761904716491699,0,0,80.95238494873047,15.000000953674316,75,5.263157844543457,5,0,0,16376,505,25179,43,0,83606.10369873047,46297.574951171875,1921.6618041992188,33336795136,0,6159568896,0
200,1771561365506,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,10,0,0,0,0,4.761904716491699,0,0,9.523809432983398,0,0,0,0,0,57.894737243652344,42.105262756347656,90,0,5,0,0,16376,508,25171,43,0,83609.11602783203,46298.94982910156,1921.6618041992188,33336795136,0,6272401408,0
199,1771561365706,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,9.523809432983398,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,100,75,0,20,0,0,16376,508,24938,43,0,83612.11041259766,46300.36877441406,1921.6618041992188,33336795136,0,6346534912,0
199,1771561365906,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,0,0,0,0,5.263157844543457,0,4.761904716491699,5,15.789472579956055,0,0,0,0,0,55.55555725097656,5,100,0,0,0,0,16376,523,24136,43,0,83614.84478759766,46301.495849609375,1921.6618041992188,33336795136,0,6407946240,0
199,1771561366106,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,95,5,0,0,0,16376,5155,24328,43,60,83617.54895019531,46302.30535888672,1921.6618041992188,33336795136,0,6498439168,0
200,1771561366306,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,95,5,0,0,0,16376,5155,25161,44,95,83620.65478515625,46303.28234863281,1921.6618041992188,33336795136,0,6498471936,0
200,1771561366507,1564,400,400,681,2041,2385,2384,1558,2232,2393,2417,2602,2119,400,400,1095,3799,443,400,400,9.756096839904785,0,0,0,0,0,0,0,2.4390242099761963,0,2.4390242099761963,2.4390242099761963,0,0,92.5,0,4.878048419952393,7.500000476837158,7.500000476837158,0,0,16376,6011,26512,44,43,83623.5230102539,46304.22686767578,1921.6618041992188,33336795136,0,6506090496,0
